type,value,n
artist,Mihajlo Dimitrievski,13
artist,Mike Doyle (I),13
artist,Patrick McEvoy,13
artist,Paul Herbert,13
artist,Peter Whitley,13
artist,Quinton Hoover,13
artist,Terry Moore Strickland,13
artist,W. Scott Moores,13
designer,Bernd Eisenstein,13
designer,Brian Yu,13
designer,Dan Glimne,13
designer,Donald X. Vaccarino,13
designer,Douglas Niles,13
designer,Francis Tresham,13
designer,Fraser Lamont,13
designer,Gary Dicken,13
designer,Gordon Lamont,13
designer,John Hill (I),13
designer,Jürgen P. Grunau,13
designer,Karl-Heinz Schmiel,13
designer,Kristian Amundsen Østby,13
designer,Michael Gray,13
designer,Paolo Mori,13
designer,Pier Giorgio Paglia,13
designer,Robert Dougherty,13
designer,Scott Almes,13
designer,Stephen V. Cole,13
designer,Todd Breitenstein,13
expansion,DC Comics Dice Masters: Batman,13
expansion,Marvel Dice Masters: Spider-Man Maximum Carnage Team Pack,13
expansion,Munchkin 10th Anniversary Shot Glass,13
expansion,Munchkin Blender,13
expansion,Munchkin Bracelet of Slapping,13
expansion,Munchkin Pins,13
expansion,Munchkin Tavern Pint Glass,13
expansion,Munchkin Thumb Drive,13
expansion,Stadt Land Spielt Limitierte Sonderdrucke 2015,13
family, Brigade (CWB) Series,13
family,Animals: Ants,13
family,Animals: Squirrels,13
family,Ascension Deck Building Game,13
family,Black Stories,13
family,Bohnanza,13
family,Civil War,13
family,Country: Sweden,13
family,Country: Turkey,13
family,Country: United Kingdom,13
family,Dice Masters,13
family,Empire Builder Rail Games,13
family,Fantasy Strike,13
family,Games Workshop Specialist Games,13
family,IELLO: Mini Games,13
family,Safari,13
family,Sports: Fishing / Angling,13
family,TV Series: Spongebob Squarepants,13
family,The E•G•G Series,13
family,Wine Games,13
artist,Andreas Steiner,12
artist,Bernd Wagenfeld,12
artist,Cyril Saint Blancat,12
artist,Dave Andrews,12
artist,Dave LaForce,12
artist,David R. Deitrick,12
artist,David Richards,12
artist,Igor Polouchine,12
artist,Jared Blando,12
artist,Jeff Laubenstein,12
artist,John Matson,12
artist,Larry Catalano,12
artist,Leland Myrick,12
artist,Naomi Robinson,12
artist,Pascal da Silva,12
artist,Philippe Guérin,12
artist,Sandra Garavito,12
artist,Steve Paschal,12
artist,Timothy Schleif,12
artist,WiL Springer,12
designer,Alessio Cavatore,12
designer,Alfred Leonardi,12
designer,Ben Knight,12
designer,Cliff Bohm,12
designer,David James Ritchie,12
designer,Hayato Kisaragi,12
designer,Jeroen Doumen,12
designer,Kris Burm,12
designer,L. Ross Babcock,12
designer,Mark H. Walker,12
designer,Matt Leacock,12
designer,Maureen Hiron,12
designer,Max J. Kobbert,12
designer,Pascal Bernard,12
designer,Phil Walker-Harding,12
designer,Reiner Stockhausen,12
designer,Richard Breese,12
designer,Stephen Baker,12
designer,Thomas N. Shaw,12
expansion,+10 Bag o' Munchkin d6,12
expansion,+6 Bag o' Munchkin Level Counters,12
expansion,Car Wars Supplement,12
expansion,Exclusive Warehouse 23 Munchkin Booster,12
expansion,Italy (fan expansion for Ticket to Ride),12
expansion,Marvel Dice Masters: The Mighty Thor,12
expansion,Munchkin Get More Loot! Promotional Postcard,12
expansion,Munchkin Metal Pin,12
expansion,Munchkin Sparkly Good Fairy Shot Glass,12
expansion,Munchkin Tavern Shot Glass,12
family, Gas,12
family, and Petroleum,12
family,Beer,12
family,Byzantium,12
family,Cities: Sparta (Greece),12
family,Country: Israel,12
family,Country: Korea,12
family,Game of Life,12
family,Games by Gamesmiths,12
family,Goblins,12
family,Magazine: Dragon,12
